tracking_number,shipment_date,estimated_delivery,actual_delivery,origin_city,destination_city,weight_kg,pieces,status,customer_email,driver_employee_id,route_code,carrier_tracking_number,delivery_notes
FF-108933,05/05/2025,2025-05-09,,Pomona,Anaheim,3.38,47,OUT_FOR_DELIVERY,daltonmccarthy@example.org,EMP-041,RT-023,CTN695514673,Girl Congress those true can only matter situation friend card prepare.
FF-108934,09/06/2022,09/09/2022,,Los Angeles,Ontario,189.01,10,PENDING,apriltaylor@example.net,EMP-050,RT-002,,Five region your write no inside pattern represent.
FF-108935,2022-10-17,2022-10-20,,San Bernardino,Ontario,37.33,14,PICKED_UP,moorejerry@example.com,EMP-027,RT-005,CTN279995763,Mind mission wear ability area affect professor value dark wide report test believe.
FF-108936,2025-12-01,2025-12-05,12/10/2025,Ontario,Long Beach,22.71,11,DELIVERED,brian65@example.org,EMP-048,RT-013,CTN682601515,Scientist first animal born bill floor nor out these.
FF-108937,2024-12-07,2024-12-12,11/29/2024,Corona,Irvine,25.18,7,DELIVERED,powellheather@example.org,EMP-019,RT-013,,Card yet allow pretty recent everybody road certain organization side policy level.
FF-108938,01/30/2024,2024-02-04,2024-02-05,Long Beach,San Bernardino,13.23,45,DELIVERED,radams@example.net,EMP-022,RT-014,CTN276280928,Feel man manage once special.
FF-108939,11/03/2024,2024-11-04,2024-11-07,Riverside,Corona,35.98,20,DELIVERED,margaretgibson@example.org,EMP-038,RT-027,CTN336075772,Budget provide rate get.
FF-108940,2022-02-20,2022-02-21,,Long Beach,Fontana,20.04,26,PICKED_UP,abbottrichard@example.net,EMP-046,RT-026,CTN953883649,Only candidate long involve hear worker.
FF-108941,09/02/2024,2024-09-06,2024-09-04,Anaheim,Riverside,83.61,26,DELIVERED,debbiespears@example.org,EMP-041,RT-012,CTN207451401,Shake base so democratic left.
FF-108942,2021-11-20,2021-11-22,2021-11-26,Pomona,Corona,5.96,25,DELIVERED,waynecombs@example.com,EMP-021,RT-021,CTN264283325,Answer clearly who mention return from mention enough father environmental pretty subject administration.
FF-108943,12/21/2021,2021-12-22,,Ontario,Pomona,7.32,31,IN_TRANSIT,amandalopez@example.net,EMP-009,RT-020,,Doctor stop second program back.
FF-108944,2026-03-14,2026-03-15,,Irvine,Ontario,22.42,31,DELAYED,amy27@example.net,EMP-044,RT-029,,Church picture reflect.
FF-108945,2021-06-27,2021-07-01,,Long Beach,Corona,4.55,3,IN_TRANSIT,frederick59@example.org,EMP-008,RT-014,,Eye inside direction try commercial avoid pay effect almost.
FF-108946,2026-05-05,2026-05-08,,Ontario,Corona,41.99,19,OUT_FOR_DELIVERY,simpsonearl@example.org,EMP-007,RT-029,CTN292036374,
FF-108947,2023-11-08,2023-11-10,,Fontana,Corona,17.73,19,IN_TRANSIT,owalker@example.org,EMP-050,RT-008,,
FF-108948,2024-08-27,2024-08-29,,Long Beach,Corona,16.59,27,OUT_FOR_DELIVERY,bullockelizabeth@example.net,EMP-019,RT-013,,Leader its doctor to hear.
FF-108949,2024-06-25,2024-06-27,,Ontario,Los Angeles,22.64,35,PICKED_UP,kmurray@example.org,EMP-013,RT-025,,
FF-108950,2025-03-30,04/02/2025,,Los Angeles,Corona,33.21,4,PENDING,jonestyler@example.com,EMP-018,RT-017,,
FF-108951,2026-05-11,2026-05-12,,Anaheim,Pomona,252.16,50,DELAYED,wandahernandez@example.org,EMP-004,RT-019,,
FF-108952,2021-08-21,08/23/2021,,Ontario,Riverside,28.78,31,IN_TRANSIT,valeriewall@example.com,EMP-015,RT-006,,Color join town onto western wife performance message until.
FF-108953,2022-04-22,2022-04-27,05/02/2022,Riverside,Los Angeles,201.07,10,DELIVERED,aphillips@example.com,EMP-044,RT-019,,By instead agreement operation media detail.
FF-108954,01/28/2024,2024-01-30,,Long Beach,Irvine,37.01,18,OUT_FOR_DELIVERY,aliceyoung@example.org,EMP-020,RT-001,,
FF-108955,2022-12-19,2022-12-24,12/27/2022,Long Beach,Pomona,30.92,18,DELIVERED,okennedy@example.com,EMP-042,RT-013,CTN904469771,
FF-108956,12/03/2025,2025-12-04,,Fontana,San Bernardino,37.4,17,IN_TRANSIT,karen33@example.com,EMP-045,RT-012,,
FF-108957,2026-03-06,2026-03-10,2026-03-08,Anaheim,San Bernardino,64.9,28,DELIVERED,ralph17@example.net,EMP-010,RT-009,,Stay such little performance new.
FF-108958,2026-01-23,2026-01-27,,Irvine,Riverside,98.45,24,DELAYED,jameswilliam@example.com,EMP-021,RT-011,,Serious organization hope way rock those ago.
FF-108959,03/16/2023,2023-03-19,,Irvine,Fontana,8.31,29,IN_TRANSIT,paul63@example.net,EMP-033,RT-022,,Rise difficult move especially show without production.
FF-108960,2026-03-26,2026-03-30,,Anaheim,Long Beach,32.58,21,PICKED_UP,sheaashley@example.com,EMP-009,RT-014,,Strategy visit event thus have project apply firm reduce threat quickly agent.
FF-108961,2026-01-27,2026-01-29,2026-01-27,Pomona,Fontana,500.0,34,DELIVERED,kimberly57@example.net,EMP-046,RT-019,,Lot experience identify character particular bring evidence.
FF-108962,2025-01-09,01/10/2025,,Irvine,Pomona,17.42,9,IN_TRANSIT,dbryant@example.org,EMP-048,RT-028,,Within letter we I push.
FF-108963,2022-05-29,06/01/2022,,Ontario,Riverside,2.27,27,DELIVERED,harveybilly@example.com,EMP-030,RT-003,CTN532473472,Everyone PM stay call world fight.
FF-108964,2024-01-03,2024-01-08,,Corona,Pomona,75.04,15,IN_TRANSIT,simmonsjennifer@example.com,EMP-036,RT-029,CTN952857211,Office every somebody.
FF-108965,2026-01-17,2026-01-20,,Corona,Fontana,33.38,8,IN_TRANSIT,kimberly83@example.net,EMP-016,RT-022,CTN584785761,
FF-108966,05/17/2023,2023-05-19,,Pomona,Los Angeles,104.62,3,PICKED_UP,qwilliams@example.net,EMP-009,RT-007,,Sort science born case.
FF-108967,2021-08-26,2021-08-29,2021-09-03,Corona,Los Angeles,43.6,35,DELIVERED,pittmanamy@example.org,EMP-012,RT-014,CTN253372004,
FF-108968,2024-11-04,2024-11-05,,Los Angeles,Irvine,47.1,26,PICKED_UP,april50@example.com,EMP-050,RT-020,,Sure just.
FF-108969,01/13/2022,2022-01-15,,Long Beach,San Bernardino,18.18,36,PENDING,qwright@example.com,EMP-027,RT-016,,Imagine also table theory night financial.
FF-108970,2023-03-09,03/10/2023,,San Bernardino,Fontana,63.42,47,IN_TRANSIT,denisemartin@example.com,EMP-020,RT-029,,Son significant phone truth often.
FF-108971,2022-04-22,2022-04-27,,Pomona,Corona,2.9,34,IN_TRANSIT,griffinashley@example.net,EMP-011,RT-030,CTN769116368,Respond staff station road sell put music term smile.
FF-108972,2025-01-16,2025-01-17,2025-01-06,Corona,Pomona,63.63,17,DELIVERED,reesewilliam@example.com,EMP-042,RT-028,,Class market letter allow head.
FF-108973,2022-12-02,2022-12-04,2022-12-09,Corona,Ontario,15.27,32,DELIVERED,hermansandra@example.com,EMP-034,RT-011,,Training away put writer high.
FF-108974,2023-04-18,04/20/2023,,Los Angeles,Ontario,14.66,35,PENDING,paula76@example.com,EMP-007,RT-021,,Religious account that surface environment other.
FF-108975,01/30/2023,02/03/2023,,Los Angeles,Riverside,74.25,31,PENDING,ckelly@example.com,EMP-030,RT-030,,
FF-108976,2024-01-22,2024-01-26,2024-01-24,Irvine,Ontario,500.0,1,DELIVERED,mark01@example.net,EMP-005,RT-015,,Now edge guess edge use increase degree story lay better reality.
FF-108977,2025-09-17,2025-09-19,,Long Beach,Anaheim,47.25,18,PENDING,garciaapril@example.com,EMP-033,RT-011,CTN970086106,Couple general light image marriage.
FF-108978,2022-10-03,10/04/2022,,Pomona,Long Beach,11.36,43,PICKED_UP,carolruiz@example.org,EMP-017,RT-018,,
FF-108979,2023-02-03,2023-02-06,,Riverside,Pomona,93.51,25,DELAYED,dglass@example.org,EMP-017,RT-021,,Election throw race its see common because central final deep.
FF-108980,2021-10-19,2021-10-20,,Pomona,San Bernardino,27.93,47,OUT_FOR_DELIVERY,cory75@example.com,EMP-012,RT-005,,Democratic new hour radio yard include onto every.
FF-108981,2025-02-03,2025-02-08,,Anaheim,San Bernardino,32.88,26,PICKED_UP,xbailey@example.com,EMP-012,RT-003,CTN964630894,Let describe care exist push you chair.
FF-108982,2022-04-23,2022-04-24,,Irvine,Fontana,132.21,11,IN_TRANSIT,matthewpeterson@example.com,EMP-045,RT-010,,Herself that some cup relationship red small month event.
FF-108983,2024-08-09,2024-08-11,08/04/2024,Fontana,Irvine,99.68,31,DELIVERED,danielleedwards@example.net,EMP-005,RT-030,CTN605432504,Cup traditional seat nothing bring technology as.
FF-108984,2022-08-10,08/11/2022,2022-08-13,Fontana,Anaheim,47.42,20,DELIVERED,wileykayla@example.net,EMP-016,RT-028,,Themselves make pick physical low myself candidate nearly image floor system challenge.
FF-108985,2025-07-02,2025-07-07,,Pomona,San Bernardino,17.22,30,PICKED_UP,huffricky@example.net,EMP-022,RT-013,CTN508004629,
FF-108986,12/02/2021,12/03/2021,2021-12-02,Fontana,Corona,22.13,37,DELIVERED,jeffreyhoward@example.net,EMP-044,RT-018,,Image bank data statement when.
FF-108987,2024-03-11,2024-03-15,,Long Beach,Irvine,47.6,18,OUT_FOR_DELIVERY,jeffery68@example.net,EMP-038,RT-022,,
FF-108988,2024-08-17,2024-08-19,2024-08-23,Fontana,Irvine,18.45,14,DELIVERED,kellybishop@example.net,EMP-017,RT-015,CTN283424324,
FF-108989,01/13/2026,2026-01-14,,Riverside,Ontario,15.63,50,PICKED_UP,morrisonsusan@example.net,EMP-011,RT-017,,Would teacher old.
FF-108990,01/22/2026,2026-01-27,,Fontana,Long Beach,129.65,14,IN_TRANSIT,tina03@example.com,EMP-005,RT-008,,Nearly state part court small beautiful song hundred.
FF-108991,2022-08-11,08/15/2022,,Riverside,Pomona,9.3,15,PICKED_UP,christina92@example.net,EMP-036,RT-028,,
FF-108992,01/09/2022,2022-01-12,,Los Angeles,Irvine,231.13,50,OUT_FOR_DELIVERY,nicholegibson@example.com,EMP-003,RT-014,,
FF-108993,10/31/2024,2024-11-02,,Long Beach,Irvine,192.46,44,DELAYED,michael86@example.com,EMP-013,RT-011,,
FF-108994,2023-12-01,2023-12-02,,Los Angeles,San Bernardino,58.24,30,PICKED_UP,melissamartinez@example.org,EMP-013,RT-005,,Cause of attack letter season.
FF-108995,2023-10-26,2023-10-30,,Irvine,Anaheim,16.65,34,DELAYED,brownalexander@example.net,EMP-029,RT-013,CTN982258795,Level Mrs card.
FF-108996,2023-09-01,2023-09-03,2023-09-03,Ontario,Pomona,33.82,14,DELIVERED,carpenterkevin@example.com,EMP-030,RT-005,CTN753356026,General while hand yes series environmental step report usually by manage exactly back.
FF-108997,2023-11-02,2023-11-07,,Riverside,Fontana,14.34,39,OUT_FOR_DELIVERY,nharris@example.net,EMP-009,RT-013,CTN975756156,
FF-108998,2022-02-10,2022-02-11,2022-02-16,Irvine,Riverside,9.83,12,DELIVERED,vreeves@example.org,EMP-015,RT-003,,Material it west young share body better sing herself rock her.
FF-108999,2024-10-31,2024-11-03,11/02/2024,San Bernardino,Long Beach,13.61,27,DELIVERED,cindyrodriguez@example.net,EMP-015,RT-024,,
FF-109000,2023-12-24,12/28/2023,,Anaheim,Corona,5.24,50,IN_TRANSIT,hannahlynch@example.com,EMP-018,RT-013,CTN707702660,
FF-109001,2021-08-21,2021-08-23,08/23/2021,Ontario,Los Angeles,132.17,10,DELIVERED,ashleymoore@example.org,EMP-046,RT-027,,
FF-109002,2023-03-19,2023-03-24,2023-03-23,Irvine,Anaheim,12.94,10,DELIVERED,gcastillo@example.org,EMP-050,RT-011,CTN551343264,Research shoulder a energy education.
FF-109003,07/18/2024,07/20/2024,,Los Angeles,Long Beach,79.74,45,IN_TRANSIT,derrick43@example.net,EMP-031,RT-003,CTN450589981,Thank society draw able road add majority upon decide.
FF-109004,2021-06-18,2021-06-21,,San Bernardino,Riverside,56.51,18,PENDING,kim91@example.net,EMP-014,RT-024,,While bit daughter situation employee.
FF-109005,2024-06-07,2024-06-09,,Ontario,Irvine,15.03,20,PENDING,tkane@example.com,EMP-032,RT-021,CTN298733810,Life both line possible religious since staff those.
FF-109006,2022-06-27,07/01/2022,,Fontana,Pomona,2.17,47,IN_TRANSIT,cathy51@example.org,EMP-037,RT-029,,
FF-109007,2026-02-04,2026-02-08,,Riverside,San Bernardino,13.87,20,PENDING,tmartin@example.com,EMP-030,RT-002,,Lawyer account manage next contain produce certain both lay candidate military.
FF-109008,2023-08-17,2023-08-19,,Riverside,Fontana,41.18,37,OUT_FOR_DELIVERY,gwendolynthompson@example.org,EMP-004,RT-006,,
FF-109009,2023-05-09,05/11/2023,,Anaheim,Irvine,84.59,41,CANCELLED,patriciabrewer@example.org,EMP-046,RT-011,,Explain interview budget give under.
FF-109010,2025-09-05,2025-09-09,,Riverside,Long Beach,285.74,27,OUT_FOR_DELIVERY,udonaldson@example.net,EMP-008,RT-024,,Describe place simple language truth movement seven top.
FF-109011,12/09/2022,12/11/2022,,Irvine,Anaheim,162.95,3,IN_TRANSIT,amyholmes@example.net,EMP-021,RT-017,CTN122481816,
FF-109012,10/16/2023,2023-10-19,2023-10-21,Pomona,Fontana,101.4,45,DELIVERED,yreyes@example.org,EMP-034,RT-029,,Born wait for agent traditional.
FF-109013,2026-01-30,2026-02-01,2026-01-30,Pomona,Anaheim,27.25,13,DELIVERED,collinsjohn@example.com,EMP-021,RT-028,,Area suddenly hair local baby deal.
FF-109014,2023-12-11,2023-12-14,,Fontana,Ontario,33.5,13,DELAYED,darlenehardin@example.org,EMP-012,RT-012,CTN975947258,Modern available hold environmental decade again tonight believe research anything range crime month hotel animal.
FF-109015,2022-10-30,2022-11-03,,Anaheim,Riverside,52.19,14,CANCELLED,hugheskelsey@example.com,EMP-007,RT-001,CTN851332243,Prepare president son fund.
FF-109016,2024-03-09,2024-03-14,,Long Beach,Riverside,22.1,42,IN_TRANSIT,janice23@example.net,EMP-046,RT-001,CTN117687536,
FF-109017,11/10/2022,2022-11-15,,Pomona,Los Angeles,33.19,38,PICKED_UP,parkerandrew@example.com,EMP-046,RT-027,,
FF-109018,2025-05-23,2025-05-27,,Ontario,Irvine,33.62,13,CANCELLED,pmcclain@example.net,EMP-025,RT-009,,Candidate myself tell.
FF-109019,2021-06-19,2021-06-24,2021-06-25,Los Angeles,Anaheim,25.98,1,DELIVERED,juarezdavid@example.org,EMP-001,RT-023,,
FF-109020,09/18/2025,2025-09-22,,Corona,Los Angeles,54.95,35,DELAYED,michellepage@example.net,EMP-035,RT-011,,Old good around guy eight really today government relate capital picture sea of themselves.
FF-109021,2021-12-24,12/26/2021,,Ontario,Corona,42.28,49,IN_TRANSIT,nhanna@example.net,EMP-040,RT-004,,
FF-109022,2024-06-19,2024-06-24,2024-06-22,San Bernardino,Long Beach,33.27,47,DELIVERED,ernest05@example.net,EMP-031,RT-029,,General north collection man since give.
FF-109023,2022-12-19,12/20/2022,,Corona,San Bernardino,30.93,37,DELAYED,halldawn@example.net,EMP-026,RT-028,CTN699678565,Push what charge stand.
FF-109024,2025-08-02,08/06/2025,,Irvine,Ontario,182.81,15,OUT_FOR_DELIVERY,kmcguire@example.net,EMP-010,RT-005,,
FF-109025,2021-09-04,2021-09-07,,Corona,Fontana,61.89,42,CANCELLED,josephkent@example.org,EMP-017,RT-011,,
FF-109026,12/30/2021,2021-12-31,,San Bernardino,Fontana,80.15,16,DELAYED,samuelromero@example.net,EMP-028,RT-009,CTN811817722,
FF-109027,2022-05-29,06/01/2022,,Corona,Fontana,28.8,44,IN_TRANSIT,robertsraymond@example.net,EMP-048,RT-028,,
FF-109028,2023-03-18,2023-03-19,,Pomona,San Bernardino,29.48,8,PENDING,stephaniemorris@example.org,EMP-016,RT-027,,Practice investment why woman such first another.
FF-109029,02/27/2024,02/29/2024,,Pomona,Los Angeles,3.68,42,PENDING,pchapman@example.net,EMP-015,RT-004,,
FF-109030,2025-10-23,10/26/2025,,Pomona,Anaheim,128.23,7,PENDING,bsampson@example.com,EMP-016,RT-025,,Physical building yet discuss coach kitchen yeah cold doctor tree.
FF-109031,02/28/2026,2026-03-02,2026-03-02,Long Beach,Pomona,30.71,15,DELIVERED,umartin@example.com,EMP-030,RT-007,,Defense scene service same month example soon hot foot appear.
FF-109032,12/07/2021,12/09/2021,,Ontario,Long Beach,13.6,27,DELAYED,leegeorge@example.com,EMP-001,RT-008,,
FF-109033,08/13/2021,08/14/2021,2021-08-13,Corona,Riverside,37.03,35,DELIVERED,vcarrillo@example.org,EMP-001,RT-012,,Black recognize officer evidence.
FF-109034,2021-07-10,07/11/2021,,Long Beach,Los Angeles,23.32,35,IN_TRANSIT,kaitlingolden@example.org,EMP-037,RT-030,,
FF-109035,2025-06-04,2025-06-05,,Los Angeles,Fontana,41.6,33,PICKED_UP,timothycline@example.com,EMP-016,RT-018,,Perform arm into practice amount.
FF-109036,2025-02-09,2025-02-13,,Los Angeles,Corona,62.32,32,IN_TRANSIT,margaretpaul@example.net,EMP-017,RT-018,,West born size collection cause hot produce.
FF-109037,01/09/2026,2026-01-10,01/11/2026,Fontana,Irvine,139.38,38,DELIVERED,wrogers@example.com,EMP-030,RT-017,,Particular policy stock.
FF-109038,2022-06-25,06/29/2022,2022-07-04,San Bernardino,Anaheim,52.68,12,DELIVERED,pjordan@example.org,EMP-040,RT-003,,Always whether nothing standard necessary voice sort senior.
FF-109039,07/19/2024,2024-07-24,,San Bernardino,Corona,114.0,43,PENDING,milleranthony@example.net,EMP-009,RT-011,,Heavy their side break fact everybody computer whole center subject audience ready cost.
FF-109040,09/08/2024,2024-09-10,2024-09-11,Long Beach,Ontario,26.6,34,DELIVERED,larryherrera@example.com,EMP-044,RT-006,,Wife matter conference need west skill go reality.
FF-109041,2024-03-10,2024-03-14,2024-03-18,Ontario,Los Angeles,127.38,13,DELIVERED,robert19@example.org,EMP-045,RT-001,CTN610165690,Away employee suddenly.
FF-109042,04/11/2023,2023-04-13,,San Bernardino,Fontana,9.57,30,IN_TRANSIT,daniel15@example.com,EMP-033,RT-029,,
FF-109043,2021-07-21,2021-07-24,,Riverside,Fontana,11.37,42,IN_TRANSIT,rhonda39@example.com,EMP-034,RT-025,CTN857425976,Movement agree reduce couple.
FF-109044,09/02/2024,2024-09-07,,Long Beach,Fontana,62.15,38,CANCELLED,eric49@example.net,EMP-010,RT-008,,
FF-109045,03/12/2025,2025-03-16,,Anaheim,Long Beach,39.08,20,DELAYED,gailbanks@example.com,EMP-028,RT-011,,Include over better suffer prevent water thousand cost visit.
FF-109046,01/02/2023,2023-01-07,,Anaheim,Pomona,35.81,46,IN_TRANSIT,alexandra37@example.com,EMP-046,RT-011,,Hair anyone model series leave police challenge.
FF-109047,2024-05-26,2024-05-28,,Los Angeles,Ontario,62.74,28,OUT_FOR_DELIVERY,dianarussell@example.org,EMP-043,RT-019,,
FF-109048,2024-07-03,2024-07-06,,Riverside,Long Beach,56.17,44,DELAYED,conleydaniel@example.net,EMP-005,RT-025,CTN856246430,Condition action such people carry lay market movement budget form least.
FF-109049,11/30/2022,2022-12-01,,Riverside,Irvine,22.37,13,OUT_FOR_DELIVERY,jasonpalmer@example.org,EMP-036,RT-007,CTN289549661,
FF-109050,2023-01-05,2023-01-06,,San Bernardino,Pomona,28.47,27,PICKED_UP,icruz@example.com,EMP-024,RT-008,CTN831114227,
FF-109051,2025-05-12,05/15/2025,,Long Beach,Los Angeles,60.36,6,IN_TRANSIT,bstevenson@example.com,EMP-039,RT-017,CTN424597600,Weight far finish guy fund.
FF-109052,2024-07-24,2024-07-27,,Anaheim,Riverside,20.71,32,IN_TRANSIT,katherinewebb@example.com,EMP-043,RT-003,CTN203669655,
FF-109053,2025-05-21,05/25/2025,,Riverside,San Bernardino,48.2,23,IN_TRANSIT,juliehardy@example.com,EMP-026,RT-014,,Size value even far effort peace lose attack process skin loss artist laugh offer.
FF-109054,2021-08-11,2021-08-13,,Long Beach,Fontana,99.05,12,OUT_FOR_DELIVERY,bakercarl@example.net,EMP-022,RT-021,,
FF-109055,12/26/2021,2021-12-31,,Long Beach,Anaheim,45.55,18,DELAYED,ddiaz@example.org,EMP-019,RT-017,CTN598886359,
FF-109056,2025-02-08,2025-02-13,2025-02-07,Fontana,Riverside,30.26,45,DELIVERED,megan48@example.net,EMP-019,RT-027,CTN565134752,Road wrong project foot.
FF-109057,2022-04-03,2022-04-08,2022-04-10,Long Beach,Anaheim,2.45,19,DELIVERED,cherylfinley@example.com,EMP-005,RT-006,,
FF-109058,2024-11-09,2024-11-14,,Ontario,Irvine,188.57,8,PICKED_UP,jacobhancock@example.org,EMP-031,RT-002,,Republican our him stay agreement fall.
FF-109059,01/03/2025,2025-01-07,2025-01-10,Los Angeles,Anaheim,500.0,25,DELIVERED,susancrane@example.net,EMP-001,RT-030,,
FF-109060,2022-01-11,2022-01-14,,Riverside,San Bernardino,4.99,33,PENDING,sheatimothy@example.org,EMP-007,RT-024,CTN418577443,
FF-109061,2026-04-26,2026-04-27,2026-04-29,San Bernardino,Anaheim,117.89,13,DELIVERED,ashley52@example.net,EMP-047,RT-001,CTN362412997,Security back director drive organization.
FF-109062,03/08/2024,03/13/2024,,Pomona,Corona,84.51,31,OUT_FOR_DELIVERY,garciaelizabeth@example.com,EMP-009,RT-006,CTN342783287,Near could professor customer sort reality foot million lot.
FF-109063,2021-12-06,2021-12-09,,Corona,Anaheim,4.18,36,PENDING,towens@example.net,EMP-026,RT-024,,Police idea decade traditional conference focus against.
FF-109064,2022-07-18,2022-07-23,2022-07-25,Fontana,Ontario,27.05,17,DELIVERED,hannahroberts@example.com,EMP-047,RT-006,,
FF-109065,09/13/2022,2022-09-18,09/18/2022,Fontana,San Bernardino,110.76,31,DELIVERED,twoods@example.org,EMP-028,RT-004,CTN981220205,Pick school different call spend happy ball bag back machine state security read worry.
FF-109066,01/21/2023,01/26/2023,,Corona,Los Angeles,1.3,44,OUT_FOR_DELIVERY,jrobertson@example.com,EMP-029,RT-006,,
FF-109067,2022-02-16,02/20/2022,,Anaheim,Riverside,28.76,-4,PENDING,betty98@example.com,EMP-028,RT-022,CTN414985736,
FF-109068,2021-06-12,06/13/2021,,Long Beach,Riverside,75.62,41,PICKED_UP,nicholasthompson@example.org,EMP-040,RT-005,,
FF-109069,01/12/2023,01/17/2023,,Fontana,Long Beach,128.19,14,PICKED_UP,gorozco@example.net,EMP-034,RT-027,CTN958947603,Avoid eight east sea next news.
FF-109070,2023-07-31,2023-08-05,,Anaheim,Riverside,129.1,27,PICKED_UP,xthomas@example.com,EMP-022,RT-006,,Seat teacher return hundred cultural sit.
FF-109071,2022-12-17,2022-12-18,,Irvine,San Bernardino,28.86,8,OUT_FOR_DELIVERY,chavezchristina@example.org,EMP-035,RT-002,,
FF-109072,03/24/2024,2024-03-27,,Los Angeles,Corona,6.08,4,OUT_FOR_DELIVERY,richardhenry@example.net,EMP-041,RT-018,,
FF-109073,03/31/2025,2025-04-04,,Corona,Los Angeles,46.31,43,IN_TRANSIT,bpham@example.net,EMP-026,RT-026,,Into business kid last already big leader entire dark resource during charge behavior list final child.
FF-109074,2022-01-24,2022-01-26,,Corona,Ontario,30.29,48,OUT_FOR_DELIVERY,johnpowell@example.com,EMP-024,RT-018,CTN956602097,
FF-109075,2022-03-14,2022-03-16,,Pomona,Fontana,14.64,5,IN_TRANSIT,anthonybell@example.net,EMP-035,RT-014,,Arrive nearly message whom city.
FF-109076,2021-07-13,07/14/2021,07/19/2021,Fontana,Los Angeles,57.94,13,DELIVERED,sotomichael@example.org,EMP-012,RT-020,,Through never close reason such experience personal join wall great step foreign.
FF-109077,2023-12-15,2023-12-17,,Long Beach,Corona,103.9,14,PICKED_UP,heatherhorton@example.com,EMP-003,RT-004,,Employee government thus cold attack morning significant across research fire oil.
FF-109078,10/13/2024,2024-10-15,2024-10-17,Corona,Ontario,46.13,2,DELIVERED,lori86@example.org,EMP-027,RT-003,,
FF-109079,2023-04-02,04/07/2023,,Corona,Fontana,153.85,48,IN_TRANSIT,amy18@example.org,EMP-026,RT-026,,Order yourself alone.
FF-109080,11/24/2024,2024-11-25,2024-11-28,Ontario,Corona,60.34,13,DELIVERED,bradshawjacqueline@example.org,EMP-034,RT-027,,Once find trip for thus teach local because.
FF-109081,2023-12-03,2023-12-08,,Ontario,Anaheim,5.3,28,PENDING,thompsonmiranda@example.org,EMP-018,RT-024,,Entire ever scientist team.
FF-109082,2022-01-11,01/13/2022,,Riverside,San Bernardino,52.98,23,IN_TRANSIT,patriciarobinson@example.com,EMP-031,RT-028,,Soldier mention they sit spend simple.
FF-109083,2021-12-12,12/15/2021,,Riverside,Pomona,256.92,23,DELIVERED,amy39@example.net,EMP-010,RT-002,,Think cup near option with.
FF-109084,2022-05-26,2022-05-31,2022-05-30,Ontario,Long Beach,12.58,4,DELIVERED,joshuawalker@example.com,EMP-033,RT-015,CTN168325262,Floor want know adult discussion health PM high public.
FF-109085,2024-05-09,05/12/2024,,Ontario,Corona,12.22,13,IN_TRANSIT,fernandezpaul@example.net,EMP-017,RT-005,,
FF-109086,08/04/2024,2024-08-07,,Los Angeles,Pomona,12.68,32,PICKED_UP,eugene58@example.com,EMP-049,RT-019,,Light class conference politics majority choice.
FF-109087,2025-12-21,2025-12-24,,Riverside,Pomona,98.63,6,PICKED_UP,rmason@example.net,EMP-023,RT-016,,
FF-109088,05/22/2025,2025-05-23,,San Bernardino,Long Beach,28.19,31,PICKED_UP,piercepatricia@example.com,EMP-043,RT-005,,
FF-109089,2024-04-12,04/16/2024,,San Bernardino,Corona,13.41,7,PENDING,jeremy72@example.com,EMP-026,RT-021,,
FF-109090,2025-11-20,11/25/2025,,San Bernardino,Los Angeles,10.07,24,CANCELLED,benjaminbrown@example.org,EMP-023,RT-009,,Out including popular parent choose accept week lot production leader.
FF-109091,08/06/2025,08/11/2025,,Pomona,San Bernardino,4.81,11,IN_TRANSIT,petersonleslie@example.net,EMP-029,RT-008,,Challenge least recognize gun central friend opportunity instead word.
FF-109092,2025-09-28,2025-10-03,,San Bernardino,Pomona,18.54,35,OUT_FOR_DELIVERY,josesimon@example.com,EMP-031,RT-021,CTN338797223,Various partner product director parent place believe begin vote tax.
FF-109093,10/28/2021,2021-10-30,,San Bernardino,Irvine,31.11,29,IN_TRANSIT,garciadaniel@example.org,EMP-023,RT-002,,Do unit mention possible gun.
FF-109094,2022-12-11,2022-12-14,,Fontana,Irvine,19.25,49,PENDING,alexislee@example.com,EMP-007,RT-010,CTN391905356,
FF-109095,09/27/2023,2023-09-30,,Ontario,Fontana,17.05,1,DELAYED,donnanelson@example.com,EMP-041,RT-023,CTN373320344,
FF-109096,2021-07-11,07/14/2021,,Fontana,Corona,49.48,41,OUT_FOR_DELIVERY,anthony89@example.org,EMP-041,RT-001,,Throw late sit computer lead teacher lot task scene.
FF-109097,2025-08-07,2025-08-10,,Irvine,Los Angeles,29.76,48,PENDING,thomasrios@example.org,EMP-025,RT-022,CTN250971996,Assume line coach discuss see.
FF-109098,04/17/2026,2026-04-18,,Ontario,Irvine,17.79,49,OUT_FOR_DELIVERY,lnguyen@example.net,EMP-026,RT-001,CTN690873188,
FF-109099,10/13/2021,10/14/2021,10/15/2021,Los Angeles,Long Beach,267.32,21,DELIVERED,margaretmarsh@example.net,EMP-004,RT-005,,
FF-109100,2022-07-01,2022-07-04,,Pomona,Riverside,41.71,4,OUT_FOR_DELIVERY,qsmith@example.net,EMP-031,RT-030,,
FF-109101,2025-10-12,2025-10-14,,Anaheim,Corona,47.78,6,IN_TRANSIT,carla93@example.net,EMP-024,RT-001,CTN952129074,Marriage young character walk sometimes bit.
